capital,company_name,garden,income_growth,is_sold,market_value,net_asset,net_capital,net_profit,net_profit_growth,net_profit_t,net_profit_t_1,net_profit_t_2,net_profit_t_3,status,stock_code,stock_share,target_income,target_industry,total_debt
2447.870425,茶乾坤,股转系统挂牌股票(非园区类,-12.4957,0,1000.0,,1098.862962,-0.62717,-100.8208,,0.0051478113599999955,-4.225323564287993e-05,3.468145581567582e-07,正常交易,831108.OC,,912.667848,制造业,1240.3474820000001
6739.647043000001,金牌股份,股转系统挂牌股票(非园区类,-55.75,0,2000.0,,3574.482329,5.950978,-99.0013,,0.05943241728599981,0.0005935515514352783,5.9277993441841055e-06,正常交易,831109.OC,,1617.003001,制造业,3165.164714
23198.165951,荣腾科技,股转系统挂牌股票(非园区类,105.8393,0,3987.5,,6953.526784000001,-331.269713,34.4893,,-445.522318125709,-599.1798469910391,-805.8327819593194,正常交易,831110.OC,2057.5,3826.880279,制造业,16244.639167
908.0966960000001,智明恒,中关村,-34.0158,0,1204.5,,561.536121,-81.314986,-155.3635,,45.01882227410999,-24.92399566972688,13.79879634260924,正常交易,831111.OC,211.25,208.555071,采掘业,346.560575
5028.216222999999,哥伦布,股转系统挂牌股票(非园区类,12.1218,0,3000.0,,4184.895788000001,335.929953,-55.9858,,147.85688137332602,65.07802348141847,28.643571411158486,正常交易,831112.OC,,2420.819359,社会服务业,843.320435
2662.233308,杰盛通信,股转系统挂牌股票(非园区类,40.114000000000004,0,500.0,,1321.942799,5.483512,110.8448,,11.561699909376001,24.37724305052401,51.398149355391254,正常交易,831113.OC,,2136.330973,信息技术业,1340.290509
2229.896053,易销科技,股转系统挂牌股票(非园区类,-48.3765,0,17600.0,,1273.430343,-71.689406,11.0377,,-79.602267566062,-88.38852705320122,-98.14458750375242,正常交易,831114.OC,540.97,365.449384,信息技术业,956.46571
17749.441662999998,福克油品,股转系统挂牌股票(非园区类,-24.3176,0,5000.0,,9048.354868999999,594.263097,-14.7461,,506.632466453283,431.92393631761536,368.2320007442835,正常交易,831115.OC,1708.3332,2953.031436,制造业,8701.086793999999
2337.1205600000003,腾远食品,股转系统挂牌股票(非园区类,19.6267,0,800.0,,854.954557,41.778031,60.4793,,67.045091702583,107.59349384866326,172.66528577387786,正常交易,831116.OC,,2130.712335,批发和零售贸易,1475.1527820000001
7304.769356999999,维恩贝特,股转系统挂牌股票(非园区类,57.0085,0,4730.0,,5985.789759,681.088419,37.0264,,933.2709413726161,1278.8275732090067,1752.3313857756666,正常交易,831117.OC,207.5,4733.688549,信息技术业,1161.136769
30705.639410000003,兰亭科技,股转系统挂牌股票(非园区类,4.0916,0,6132.9,,8744.253059,592.292694,71.8325,,1017.7513434175501,1748.8275771779618,3005.054146554321,正常交易,831118.OC,,4927.133923,制造业,21961.386350999997
3909.6601170000004,蓝钻生物,昆明高新区,99.5832,0,3000.0,,3262.256139,32.125232,44.9808,,46.575418355455994,67.52541413508695,97.89888561636214,正常交易,831119.OC,,1356.612281,制造业,647.403978
38689.910892,达海智能,股转系统挂牌股票(非园区类,16.2767,0,6000.0,,25343.000891,2398.7994,25.307,,3005.8635641579995,3766.5574563394644,4719.760151815292,正常交易,831120.OC,4576.425,17568.064912,建筑业,13346.910001
13212.850173,力久电机,股转系统挂牌股票(非园区类,30.5141,0,1680.0,,4435.3837920000005,286.152141,270.3304,,1059.708368373864,3924.422239432404,14533.328576978982,正常交易,831121.OC,,8453.467169,制造业,8777.466381
7918.601087000001,永信科技,股转系统挂牌股票(非园区类,19.9077,0,2400.0,,2841.688418,24.354323,-64.8188,,8.568143083276,3.0143755544134967,1.060493492549321,正常交易,831122.OC,600.0,1579.997528,制造业,5076.912668999999
5440.633091,大成空间,武汉东湖,12.5566,0,2220.0,,3294.334705,264.374128,28.3084,,339.214213650752,435.24033010786155,558.4499037161155,正常交易,831123.OC,200.0,1338.059442,制造业,2146.298386
,中标节能,股转系统挂牌股票(非园区类,,0,4000.0,,,,,,,,,正常交易,831124.OC,,,社会服务业,
5897.430198,欧安电气,股转系统挂牌股票(非园区类,66.9049,0,1000.0,,3284.389365,-3.012449,98.5963,,-5.982612253387,-11.881246578573206,-23.59571609892298,正常交易,831125.OC,370.7417,1415.044927,制造业,2528.854991
4382.581857,元鼎科技,中关村,61.1471,0,1200.0,,1562.6160730000001,102.503592,207.828,,315.53475718175997,971.3043323374682,2989.946700147781,正常交易,831126.OC,,4819.610796,信息技术业,2819.965784
